"url","player_name","player_games_played","player_games_started","player_minutes_per_game","player_points_per_game","player_offensive_rebounds__per_game","player_defensive_rebounds_per_game","player_rebounds_per_game","player_assists_per_game","player_steals_per_game","player_blocks_per_game","player_turnovers_per_game","player_fouls_per_game","player_assist_to_turnover_ratio","team","season_type","season_year"
"https://www.espn.com/nba/player/_/id/2755/francisco-garcia?year=2008-09&team=SAC","Francisco G****a",67,11,19.4,5.6,0.6,2.2,2.8,1.4,0.6,0.7,1.1,2,1.3,"SAC","Not clear","2005-06"
"https://www.espn.com/nba/player/_/id/3899664/simone-fontecchio","Simone F********o",52,6,14.7,6.3,0.6,1.1,1.7,0.8,0.3,0.2,0.8,1.2,1,"UTAH","Not clear","2022-23"
"https://www.espn.com/nba/player/_/id/1972/ken-johnson?year=2002-03&team=MIA","Ken J*****n",16,0,9.8,2,0.3,1.8,2,0,0.1,0.8,0.4,1.3,0,"MIA","Not clear","2002-03"
"https://www.espn.com/nba/player/_/id/4066264/wenyen-gabriel?year=2021-22&team=BKN","Wenyen G*****l",11,0,5.5,1.7,0.4,0.5,0.9,0.3,0.3,0.2,0.5,0.6,0.6,"SAC","Regular season","2019-20"
"https://www.espn.com/nba/player/_/id/4066648/rui-hachimura?year=2020-21&team=WSH","Rui H*******a",48,48,30.1,13.5,1.6,4.5,6.1,1.8,0.8,0.2,1.1,2.2,1.6,"WSH","Not clear","2019-20"
"https://www.espn.com/nba/player/_/id/6585/andre-drummond?year=2018-19&team=DET","Andre D******d",25,25,28.9,17.5,4,9.4,13.5,2.6,1.6,1.2,3.2,2.8,0.8,"CLE","Regular season","2020-21"
"https://www.espn.com/nba/player/_/id/6577/furkan-aldemir?year=2014-15&team=PHI","Furkan A*****r",41,9,13.2,2.3,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,1.7,"PHI","Not clear","2014-15"
"https://www.espn.com/nba/player/stats/_/id/2744/martynas-andriuskevicius","Martynas A*************s",6,0,1.5,0,0.2,0.5,0.7,0,0.3,0,0,0.2,0,"CLE","Not clear","2005-06"
"https://www.espn.com/nba/player/_/id/2326307/seth-curry?year=2013-14&team=MEM","Seth C***y",45,45,34.8,15,0.4,3,3.4,4,0.8,0.2,1.9,2.2,2.1,"PHI","Regular season","2021-22"
"https://www.espn.com/nba/player/_/id/3138120/mindaugas-kuzminskas?year=2016-17&team=NY","Mindaugas K********s",68,5,14.9,6.3,0.7,1.2,1.9,1,0.4,0.2,0.8,1.2,1.3,"NY","Not clear","2016-17"
"https://www.espn.com/nba/player/stats/_/id/4432819/tre-mann","Tre M**n",60,26,22.8,10.4,0.4,2.4,2.9,1.5,0.8,0.2,1.2,1.7,1.3,"OKC","Not clear","2021-22"
"https://www.espn.com/nba/player/stats/_/id/2830/sharrod-ford","Sharrod F**d",3,0,4.3,1.3,0.3,0.7,1,0,0,0.3,0.7,2.3,0,"PHX","Not clear","2005-06"
"https://www.espn.com/nba/player/_/id/84/ryan-bowen?year=2009-10&team=OKC","Ryan B***n",52,0,11.3,2.5,1.4,0.8,2.2,0.4,0.8,0.3,0.3,1.8,1.3,"DEN","Not clear","1999-00"
"https://www.espn.com/nba/player/_/id/2983/lamarcus-aldridge?year=2012-13&team=POR","LaMarcus A******e",74,74,30.6,18,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,1.2,"SA","Not clear","2015-16"
"https://www.espn.com/nba/player/_/id/919/scott-williams?year=2003-04&team=DAL","Scott W******s",5,0,5.8,2.8,0.4,2,2.4,0,0.2,0.2,0.4,1,0,"MIL","Regular season","1998-99"
"https://www.espn.com/nba/player/_/id/690/zeljko-rebraca?year=2002-03&team=DET","Zeljko R*****a",74,4,15.9,6.9,1.1,2.8,3.9,0.5,0.4,1,1.1,2.6,0.5,"DET","Not clear","2001-02"
"https://www.espn.com/nba/player/_/id/6454/shelvin-mack?year=2015-16&team=ATL","Shelvin M**k",64,0,12.2,3.6,0.2,1.3,1.4,2,0.4,0,0.8,0.8,2.5,"WSH","Not clear","2011-12"
"https://www.espn.com/nba/player/_/id/4397018/ochai-agbaji?year=2023-24&team=UTAH","Ochai A****i",59,22,20.5,7.9,0.7,1.3,2.1,1.1,0.3,0.3,0.7,1.7,1.6,"UTAH","Not clear","2022-23"
"https://www.espn.com/nba/player/_/id/3112335/nikola-jokic?year=2022-23&team=DEN","Nikola J***c",80,55,21.7,10,2.3,4.7,7,2.4,1,0.6,1.3,2.6,1.8,"DEN","Not clear","2015-16"
"https://www.espn.com/nba/player/_/id/3136776/dangelo-russell?year=2021-22&team=MIN","D'Angelo R*****l",65,65,32,18.1,0.4,2.9,3.3,7.1,1,0.3,2.5,2,2.8,"MIN","Not clear","2021-22"
"https://www.espn.com/nba/player/stats/_/id/4067045/alize-johnson","Alize J*****n",14,0,4.6,0.9,0.3,1.1,1.4,0.1,0.1,0.2,0,0.5,0,"IND","Not clear","2018-19"
"https://www.espn.com/nba/player/_/id/3233/tiago-splitter?year=2014-15&team=SA","Tiago S******r",60,6,12.3,4.6,1.2,2.2,3.4,0.4,0.5,0.3,0.5,1.5,0.8,"SA","Not clear","2010-11"
"https://www.espn.com/nba/player/_/id/4592691/jake-laravia","Jake L*****a",35,0,11.8,3,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,1.2,"MEM","Not clear","2022-23"
"https://www.espn.com/nba/player/_/id/4244/lance-stephenson?year=2021-22&team=ATL","Lance S********n",6,0,27,9.7,0.5,2.5,3,4.8,0.3,0.2,1.8,3,2.7,"NO","Regular season","2016-17"
"https://www.espn.com/nba/player/stats/_/id/4066269/skylar-mays","Skylar M**s",33,0,8.2,3.8,0.3,0.8,1.1,0.9,0.4,0.1,0.3,0.5,3,"ATL","Not clear","2020-21"
"https://www.espn.com/nba/player/_/id/824/bruno-sundov?year=2003-04&team=CLE","Bruno S****v",3,0,3.7,1.3,0,0,0,0.3,0,0,0.3,1.3,1,"DAL","Not clear","1998-99"
"https://www.espn.com/nba/player/_/id/130/brian-cardinal?year=2007-08&team=MEM","Brian C******l",15,0,8.4,2.1,0.5,1,1.5,0.2,0.5,0.1,0.6,1.8,0.3,"DET","Not clear","2000-01"
"https://www.espn.com/nba/player/_/id/2990962/taurean-prince?year=2022-23&team=MIN","Taurean P****e",59,10,16.6,5.7,0.4,2.2,2.7,0.9,0.7,0.5,1,1.6,0.9,"ATL","Not clear","2016-17"
"https://www.espn.com/nba/player/_/id/4066407/carsen-edwards","Carsen E*****s",37,0,9.5,3.3,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.9,1.5,"BOS","Not clear","2019-20"
"https://www.espn.com/nba/player/_/id/2490089/mike-muscala?year=2021-22&team=OKC","Mike M*****a",35,0,18.4,9.7,0.5,3.2,3.8,0.8,0.2,0.3,0.6,1.5,1.3,"OKC","Not clear","2020-21"
"https://www.espn.com/nba/player/_/id/2800/bracey-wright","Bracey W****t",7,0,19.3,8.9,0.4,2.1,2.6,0.7,0.1,0,1.1,1.1,0.6,"MIN","Not clear","2005-06"
"https://www.espn.com/nba/player/_/id/92/terrell-brandon","Terrell B*****n",82,9,19.6,7.4,0.6,1.4,2,3.9,1,0.3,1.7,1.3,2.3,"CLE","Not clear","1992"
"https://www.espn.com/nba/player/_/id/2166/leandro-barbosa?year=2005-06&team=PHX","Leandro B*****a",70,46,21.4,7.9,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,1.4,"PHX","Not clear","2003-04"
"https://www.espn.com/nba/player/_/id/2488689/sean-kilpatrick?year=2016-17&team=BKN","Sean K********k",4,0,18,5.5,0.3,1.3,1.5,1,0.8,0,0.5,0.8,2,"MIN","Not clear","2014-15"
"https://www.espn.com/nba/player/_/id/3445/courtney-lee","Courtney ***",51,37,29.2,10,0.4,1.9,2.3,1.5,1,0.3,1,1.5,1.5,"MEM","Regular season","2015-16"
"https://www.espn.com/nba/player/_/id/2489530/troy-daniels?year=2015-16&team=CHA","Troy D*****s",5,1,15,8.4,0,0.8,0.8,1,0,0,0.6,1.2,1.7,"HOU","Not clear","2013-14"
"https://www.espn.com/nba/player/_/id/4432164/jaden-springer","Jaden S******r",2,0,3,1,0.5,0.5,1,0,0,1,0.5,0,0,"PHI","Not clear","2021-22"
"https://www.espn.com/nba/player/stats/_/id/3136483/jp-macura","J.P. M****a",2,0,8.5,3,0,1.5,1.5,1,0,0,0,0,0,"CHA","Not clear","2018-19"
"https://www.espn.com/nba/player/stats/_/id/3061/kevinn-pinkney","Kevinn P*****y",6,0,16.7,5.2,1.2,1.3,2.5,0.8,0.5,0.5,0.7,2,1.1,"BOS","Not clear","2006-07"
"https://www.espn.com/nba/player/_/id/592/steve-nash?year=2005-06&team=PHX","Steve N**h",79,79,35.4,18.8,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,3,"PHX","Not clear","2005-06"
"https://www.espn.com/nba/player/_/id/6449/malcolm-lee?year=2012-13&team=MIN","Malcolm ***",19,0,12.8,3.3,0.5,0.9,1.4,1.6,0.4,0.2,0.9,1.2,1.8,"MIN","Not clear","2011-12"
"https://www.espn.com/nba/player/_/id/592/steve-nash","Steve N**h",79,79,35.4,18.8,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,3,"PHX","Not clear","2005-06"
"https://www.espn.com/nba/player/_/id/4280245/jamaree-bouyea?year=2022-23&team=WSH","Jamaree B****a",4,0,16.3,3.8,0.3,1,1.3,1,1,0.5,1,1.3,1,"MIA","Regular season","2022-23"
"https://www.espn.com/nba/player/_/id/3024/jj-redick?year=2020-21&team=DAL","JJ R****k",35,34,28.2,15.2,0.3,1.9,2.1,2.2,0.8,0.1,1.2,1.9,1.8,"LAC","Not clear","2013-14"
"https://www.espn.com/nba/player/_/id/3010/solomon-jones?year=2009-10&team=IND","Solomon J***s",58,8,11.5,3.3,0.8,1.5,2.3,0.2,0.2,0.7,0.4,2.1,0.5,"ATL","Not clear","2006-07"
"https://www.espn.com/nba/player/_/id/3930/cartier-martin?year=2009-10&team=GS","Cartier M****n",33,1,8.1,2.6,0.2,0.8,1,0.4,0.2,0.1,0.3,1,1.3,"CHA","Not clear","2008-09"
"https://www.espn.com/nba/player/_/id/255/steve-francis?year=2004-05&team=ORL","Steve F*****s",77,77,36.1,18,2,3.3,5.3,6.6,1.5,0.4,4,3,1.6,"HOU","Not clear","1999-00"
"https://www.espn.com/nba/player/_/id/2426/trevor-ariza?year=2004-05&team=NY","Trevor A***a",77,77,35.4,14.4,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,1.5,"WSH","Not clear","2013-14"
"https://www.espn.com/nba/player/_/id/2595516/norman-powell?year=2022-23&team=LAC","Norman P****l",49,24,14.8,5.6,0.3,1.9,2.3,1,0.6,0.2,0.7,1.2,1.4,"TOR","Not clear","2015-16"
"https://www.espn.com/nba/player/_/id/4433192/tari-eason?year=2022-23&team=HOU","Tari E***n",82,5,21.5,9.3,2.4,3.7,6,1.1,1.2,0.6,1.2,2.3,0.9,"HOU","Not clear","2022-23"
"https://www.espn.com/nba/player/_/id/6430/jimmy-butler?year=2018-19&team=PHI","Jimmy B****r ***",65,65,33.6,18.7,1.9,3.4,5.3,4,1.9,0.6,1.5,1.7,2.7,"Total","Postseason","2018-19"
"https://www.espn.com/nba/player/_/id/2010/jason-kapono?year=2011-12&team=LAL","Jason K****o",41,3,10.4,3.5,0.5,0.9,1.3,0.3,0.3,0,0.5,1,0.6,"CLE","Not clear","2003-04"
"https://www.espn.com/nba/player/_/id/3911666/luis-montero?year=2015-16&team=POR","Luis M*****o",12,0,3.5,1.2,0,0.3,0.3,0.1,0,0,0.3,0.1,0.3,"POR","Not clear","2015-16"
"https://www.espn.com/nba/player/stats/_/id/2594920/greg-whittington","Greg W*********n",4,0,3,0,0,0,0,0,0,0,0,0,0,"DEN","Not clear","2020-21"
"https://www.espn.com/nba/player/stats/_/id/3057/darius-washington","Darius W********n",18,0,8.1,2.9,0.2,0.9,1.1,0.8,0.3,0,0.8,0.9,1,"SA","Not clear","2007-08"
"https://www.espn.com/nba/player/stats/_/id/3232/jason-smith","Jason S***h",76,1,14.6,4.5,1,2,3,0.3,0.3,0.7,0.6,1.9,0.5,"PHI","Not clear","2007-08"
"https://www.espn.com/nba/player/stats/_/id/3278/mario-west","Mario W**t",64,2,4.2,0.9,0.4,0.3,0.8,0.2,0.2,0.1,0.1,1,2,"ATL","Not clear","2007-08"
"https://www.espn.com/nba/player/_/id/3451/luc-mbah-a-moute?year=2019-20&team=HOU","Luc M**h * M***e",82,51,25.8,7.2,2.3,3.6,5.9,1.1,1.1,0.5,1.2,2.5,0.9,"MIL","Not clear","2008-09"
"https://www.espn.com/nba/player/_/id/2166/leandro-barbosa","Leandro B*****a",70,46,21.4,7.9,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,1.4,"PHX","Not clear","2003-04"
"https://www.espn.com/nba/player/_/id/6431/norris-cole?year=2014-15&team=MIA","Norris C**e",65,2,19.4,6.8,0.3,1.1,1.4,2,0.7,0,1.6,1.9,1.3,"MIA","Not clear","2011-12"
"https://www.espn.com/nba/player/_/id/2489663/kelly-olynyk?year=2023-24&team=UTAH","Kelly O****k",70,62,28.5,13.5,1.2,5.7,7,2.9,1.1,0.6,1.8,3,1.6,"Total","Postseason","2020-21"
"https://www.espn.com/nba/player/_/id/4066993/dru-smith?year=2022-23&team=BKN","Dru S***h",5,1,13.4,2.2,0.2,1.6,1.8,1,0.8,0.6,0.2,2,5,"MIA","Regular season","2022-23"
"https://www.espn.com/nba/player/_/id/2530596/andre-roberson?year=2017-18&team=OKC","Andre R******n",40,16,10,1.9,0.9,1.5,2.4,0.4,0.5,0.3,0.5,1.9,0.8,"OKC","Not clear","2013-14"
"https://www.espn.com/nba/player/_/id/2528588/doug-mcdermott?year=2017-18&team=NY","Doug M*******t",69,0,19.9,10.3,0.4,2.1,2.5,1.1,0.2,0.1,0.6,1.7,1.8,"IND","Not clear","2019-20"
